fish_id,image
21/11/01j15,21v11v01j15
21/11/01j20,21v11v01j20
21/11/01j26,21v11v01j26
21/11/01j9,21v11v01j9
21/12/00j15,21v12v00j15
21/12/00j16,21v12v00j16
21/12/00j19,21v12v00j19
21/12/00j23,21v12v00j23
21/12/00j25,21v12v00j25
21/12/00j9,21v12v00j9
21/12/01j15,21v12v01j15
21/12/01j16,21v12v01j16
21/12/01j25,21v12v01j25
21/12/01j26,21v12v01j26
21/12/01j27,21v12v01j27
21/12/01j31,21v12v01j31
21/12/01j5,21v12v01j5
22/11/00j30,22v11v00j30
22/11/00j5,22v11v00j5
22/11/00j7,22v11v00j7
22/11/00j9,22v11v00j9
22/11/01j40,22v11v01j40
22/11/01j7,22v11v01j7
22/12/00j18,22v12v00j18
22/12/00j24,22v12v00j24
22/12/00j30,22v12v00j30
22/12/00j40,22v12v00j40
22/12/01j19,22v12v01j19
22/12/01j21,22v12v01j21
22/12/01j38,22v12v01j38
23/11/00j10,23v11v00j10
23/11/00j24,23v11v00j24
23/11/01j12,23v11v01j12
23/11/01j3,23v11v01j3
23/11/01j35,23v11v01j35
23/11/01j38,23v11v01j38
23/11/01j39,23v11v01j39
23/12/00j7,23v12v00j7
23/12/01j14,23v12v01j14
23/12/01j16,23v12v01j16
23/12/01j19,23v12v01j19
23/12/01j21,23v12v01j21
23/12/01j25,23v12v01j25
23/12/01j27,23v12v01j27
23/12/01j31,23v12v01j31
23/12/01j38,23v12v01j38
23/12/01j39,23v12v01j39
23/12/01j4,23v12v01j4
23/12/01j42,23v12v01j42
24/11/00j10,24v11v00j10
24/11/00j11,24v11v00j11
24/11/00j12,24v11v00j12
24/11/00j15,24v11v00j15
24/11/00j17,24v11v00j17
24/11/00j18,24v11v00j18
24/11/00j21,24v11v00j21
24/11/00j22,24v11v00j22
24/11/00j23,24v11v00j23
24/11/00j24,24v11v00j24
24/11/00j25,24v11v00j25
24/11/00j27,24v11v00j27
24/11/00j29,24v11v00j29
24/11/00j3,24v11v00j3
24/11/00j30,24v11v00j30
24/11/00j31,24v11v00j31
24/11/00j34,24v11v00j34
24/11/00j35,24v11v00j35
24/11/00j36,24v11v00j36
24/11/00j5,24v11v00j5
24/11/00j7,24v11v00j7
24/11/00j9,24v11v00j9
24/11/01j24,24v11v01j24
24/11/01j40,24v11v01j40
24/12/01j10,24v12v01j10
24/12/01j12,24v12v01j12
24/12/01j20,24v12v01j20
24/12/01j29,24v12v01j29
24/12/01j34,24v12v01j34
24/12/01j36,24v12v01j36
24/12/01j6,24v12v01j6
26/11/00j13,26v11v00j13
26/11/00j14,26v11v00j14
26/11/00j15,26v11v00j15
26/11/00j17,26v11v00j17
26/11/00j18,26v11v00j18
26/11/00j20,26v11v00j20
26/11/00j21,26v11v00j21
26/11/00j24,26v11v00j24
26/11/00j25,26v11v00j25
26/11/00j28,26v11v00j28
26/11/00j30,26v11v00j30
26/11/00j4,26v11v00j4
26/11/00j6,26v11v00j6
26/11/00j7,26v11v00j7
26/11/00j9,26v11v00j9
26/12/00j11,26v12v00j11
26/12/00j12,26v12v00j12
26/12/00j15,26v12v00j15
26/12/00j16,26v12v00j16
26/12/00j19,26v12v00j19
26/12/00j23,26v12v00j23
26/12/00j24,26v12v00j24
26/12/00j26,26v12v00j26
26/12/00j28,26v12v00j28
26/12/00j5,26v12v00j5
26/12/00j6,26v12v00j6
26/12/00j8,26v12v00j8
26/12/00j9,26v12v00j9
26/12/01j33,26v12v01j33
26/12/01j40,26v12v01j40
27/11/01j12,27v11v01j12
27/11/01j5,27v11v01j5
27/12/00j17,27v12v00j17
27/12/00j20,27v12v00j20
27/12/01j21,27v12v01j21
27/12/01j4,27v12v01j4
27/12/01j40,27v12v01j40
28/11/00j11,28v11v00j11
28/11/00j18,28v11v00j18
28/11/00j21,28v11v00j21
28/11/00j22,28v11v00j22
28/11/00j24,28v11v00j24
28/11/00j26,28v11v00j26
28/11/00j27,28v11v00j27
28/11/01j16,28v11v01j16
28/11/01j20,28v11v01j20
28/12/01j20,28v12v01j20
29/11/00j22,29v11v00j22
29/11/00j23,29v11v00j23
29/11/00j24,29v11v00j24
29/11/00j25,29v11v00j25
29/11/00j26,29v11v00j26
29/11/00j28,29v11v00j28
29/11/00j29,29v11v00j29
29/11/00j30,29v11v00j30
29/11/00j31,29v11v00j31
29/11/01j25,29v11v01j25
29/11/01j29,29v11v01j29
29/11/01j3,29v11v01j3
29/11/01j30,29v11v01j30
29/11/01j31,29v11v01j31
29/11/01j37,29v11v01j37
29/11/01j39,29v11v01j39
29/11/01j7,29v11v01j7
3/01/01j6,3v01v01j6
30/11/01j32,30v11v01j32
31/12/00j24,31v12v00j24
31/12/00j7,31v12v00j7
4/01/01j27,4v01v01j27
4/12/01j22,4v12v01j22
6/12/01j10,6v12v01j10
6/12/01j12,6v12v01j12
6/12/01j15,6v12v01j15
6/12/01j18,6v12v01j18
6/12/01j20,6v12v01j20
6/12/01j21,6v12v01j21
6/12/01j28,6v12v01j28
6/12/01j29,6v12v01j29
6/12/01j3,6v12v01j3
6/12/01j30,6v12v01j30
6/12/01j31,6v12v01j31
6/12/01j32,6v12v01j32
6/12/01j34,6v12v01j34
6/12/01j36,6v12v01j36
6/12/01j37,6v12v01j37
6/12/01j38,6v12v01j38
6/12/01j39,6v12v01j39
6/12/01j40,6v12v01j40
6/12/01j41,6v12v01j41
7/12/00j4,7v12v00j4
7/12/00j5,7v12v00j5
9/12/00j24,9v12v00j24
9/12/00j25,9v12v00j25
9/12/00j30,9v12v00j30
JML03/1.1.1,1.1.1
JML03/1.1.2,1.1.2
JML03/1.1.3,1.1.3
JML03/1.1.4,1.1.4
JML03/1.1.5,1.1.5
JML03/1.1.6,1.1.6
JML03/11.12.1,11.12.03 lane 1
JML03/11.12.11,11.12.11
JML03/11.12.12,11.12.12
JML03/11.12.13,11.12.13
JML03/11.12.14,11.12.14
JML03/11.12.15,11.12.15
JML03/11.12.16,11.12.16
JML03/11.12.17,11.12.17
JML03/11.12.18,11.12.18
JML03/11.12.2,11.12.03 lane 2
JML03/11.12.3,11.12.03 lane 3
JML03/11.12.4,11.12 crit 1 lane 4
JML03/11.12.5,11.12.03 lane 5
JML03/11.12.6,11.12.03 lane 6
JML03/11.12.7,11.12.7
JML03/11.12.8,11.12.8
JML03/11.12.9,11.12.9
JML03/12.12.1,12.12.1
JML03/12.12.10,12.12.10
JML03/12.12.11,12.12.11
JML03/12.12.12,12.12.12
JML03/12.12.19,12.12.19
JML03/12.12.2,12.12.2
JML03/12.12.20,12.12.20
JML03/12.12.21,12.12.21
JML03/12.12.22,12.12.22
JML03/12.12.23,12.12.23
JML03/12.12.24,12.12.24
JML03/12.12.3,12.12.3
JML03/12.12.4,12.12.4
JML03/12.12.5,12.12.5
JML03/12.12.6,12.12.6
JML03/12.12.7,12.12.7
JML03/12.12.8,12.12.8
JML03/12.12.9,12.12.9
JML03/13.12.1,12.13.1
JML03/13.12.10,13.12.10
JML03/13.12.11,13.12.11
JML03/13.12.12,13.12.12
JML03/13.12.13,13.12.13
JML03/13.12.14,13.12.14
JML03/13.12.15,13.12.15
JML03/13.12.2,12.13.2
JML03/13.12.3,12.13.3
JML03/13.12.4,12.13.4
JML03/13.12.5,12.13.5
JML03/13.12.6,12.13.6
JML03/14.12.1,14.12.1
JML03/14.12.10,14.12.10
JML03/14.12.11,14.12.11
JML03/14.12.12,14.12.12
JML03/14.12.13,14.12.13
JML03/14.12.14,14.12.14
JML03/14.12.15,14.12.15
JML03/14.12.16,14.12.16
JML03/14.12.17,14.12.17
JML03/14.12.18,14.12.18
JML03/14.12.19,14.12.19
JML03/14.12.2,14.12.2
JML03/14.12.20,14.12.20
JML03/14.12.3,14.12.3
JML03/14.12.4,14.12.4
JML03/14.12.5,14.12.5
JML03/14.12.6,14.12.6
JML03/14.12.7,14.12.7
JML03/14.12.8,14.12.8
JML03/14.12.9,14.12.9
JML03/15.12.1,15.12.1 & 2
JML03/15.12.10,15.12.9 & 10
JML03/15.12.11,15.12.11 & 12
JML03/15.12.12,15.12.11 & 12
JML03/15.12.18,15.12.18 & 19
JML03/15.12.19,15.12.18 & 19
JML03/15.12.2,15.12.1 & 2
JML03/15.12.20,15.12.20 & 21
JML03/15.12.21,15.12.20 & 21
JML03/15.12.22,15.12.22
JML03/15.12.23,15.12.23
JML03/15.12.24,15.12.24
JML03/15.12.25,15.12.25
JML03/15.12.26,15.12.26
JML03/15.12.27,15.12.27
JML03/15.12.28,15.12.28
JML03/15.12.29,15.12.29
JML03/15.12.3,15.12.3 & 4
JML03/15.12.4,15.12.3 & 4
JML03/15.12.5,15.12.5 & 6
JML03/15.12.6,15.12.5 & 6
JML03/15.12.7,15.12.7 & 8
JML03/15.12.8,15.12.7 & 8
JML03/15.12.9,15.12.9 & 10
JML03/16.12.1,16.12.1
JML03/16.12.10,16.12.10
JML03/16.12.11,16.12.11
JML03/16.12.12,16.12.12
JML03/16.12.3,16.12.3 & 4
JML03/16.12.4,16.12.3 & 4
JML03/16.12.5,16.12.5
JML03/16.12.6,16.12.6
JML03/16.12.7,16.12.7
JML03/16.12.8,16.12.8
JML03/16.12.9,16.12.9
JML03/17.12.1,17.12.1
JML03/17.12.10,17.12.10
JML03/17.12.11,17.12.11
JML03/17.12.12,17.12.12
JML03/17.12.15,17.12.15
JML03/17.12.16,17.12.16
JML03/17.12.17,17.12.17
JML03/17.12.18,17.12.18 & 19
JML03/17.12.19,17.12.18 & 19
JML03/17.12.2,17.12.2
JML03/17.12.20,17.12.20
JML03/17.12.21,17.12.21
JML03/17.12.22,17.12.22 & 23
JML03/17.12.23,17.12.22 & 23
JML03/17.12.24,17.12.24
JML03/17.12.25,17.12.25
JML03/17.12.3,17.12.3
JML03/17.12.4,17.12.4
JML03/17.12.5,17.12.5
JML03/17.12.6,17.12.6
JML03/17.12.8,17.12.8
JML03/18.12.11,18.12.11
JML03/18.12.2,18.12.2
JML03/18.12.4,18.12.4
JML03/18.12.7,18.12.7
JML03/18.12.9,18.12.9
JML03/19.12.1,19.12.1
JML03/19.12.10,19.12.10
JML03/19.12.11,19.12.11
JML03/19.12.12,19.12.12
JML03/19.12.13,19.12.13
JML03/19.12.14,19.12.14
JML03/19.12.15,19.12.15or16
JML03/19.12.2,19.12.2
JML03/19.12.3,19.12.3
JML03/19.12.4,19.12.4
JML03/19.12.5,19.12.5
JML03/19.12.6,19.12.6
JML03/19.12.7,19.12.7
JML03/19.12.8,19.12.8
JML03/19.12.9,19.12.9
JML03/20.12.2,20.12.2
JML03/20.12.4,20.12.4
JML03/20.12.5,20.12.5
JML03/20.12.6,20.12.6
JML03/21.12.1,21.12.1
JML03/21.12.2,21.12.2
JML03/21.12.3,21.12.3
JML03/21.12.4,21.12.4
JML03/21.12.5,21.12.5 or 6
JML03/21.12.6,21.12.6 or 5
JML03/22.12.1,22.12.1
JML03/22.12.4,22.12.4
JML03/22.12.6,22.12.6
JML03/22.12.8,22.12.8
JML03/22.12.9,22.12.9
JML03/24.12.13,24.12.13 & 14
JML03/24.12.14,24.12.13 & 14
JML03/24.12.15,24.12.15 & 16
JML03/24.12.16,24.12.15 & 16
JML03/24.12.17,"24.12.17,18 & scale"
JML03/24.12.18,"24.12.17,18 & scale"
JML03/24.12.19,24.12.19 & 20
JML03/24.12.20,24.12.19 & 20
JML03/24.12.21,24.12.21
JML03/24.12.22,24.12.22
JML03/29.12.1,29.12.1
JML03/30.12.1,30.12.1
JML03/30.12.10,30.12.10
JML03/30.12.11,30.12.11
JML03/30.12.12,30.12.12
JML03/30.12.13,30.12.13
JML03/30.12.15,30.12.15
JML03/30.12.17,30.12.17
JML03/30.12.18,30.12.18
JML03/30.12.19,30.12.19
JML03/30.12.2,30.12.2
JML03/30.12.20,30.12.20
JML03/30.12.21,30.12.21
JML03/30.12.22,30.12.22
JML03/30.12.23,30.12.23
JML03/30.12.24,30.12.24
JML03/30.12.3,30.12.3
JML03/30.12.4,30.12.4
JML03/30.12.5,30.12.5
JML03/30.12.6,30.12.6
JML03/30.12.7,30.12.7
JML03/30.12.9,30.12.9
JML03/31.12.1,31.12.1
JML03/31.12.2,31.12.2
JML03/31.12.3,31.12.3
JML03/31.12.4,31.12.4
JML03/31.12.5,31.12.5
JML03/31.12.6,31.12.6
tci03nov15b,tci03nov15b
tci03nov15c,tci03nov15c
tci03nov15d,tci03nov15d
tci03nov19a,tci03nov19a
tci03nov19b,tci03nov19b
tci03nov19d,tci03nov19d
tci03nov19e,tci03nov19e
tci03nov19f,tci03nov19f
tci03nov19g,tci03nov19g
tci03nov19h,tci03nov19h
tci03nov19i,tci03nov19i
tci03nov19j,tci03nov19j
tci03nov19k,tci03nov19k
tci03nov19l,tci03nov19l
tci03nov19m,tci03nov19m
tci03nov19n,tci03nov19n
tci03nov19o,tci03nov19o
tci03nov1a,tci03nov1a
tci03nov1b,tci03nov1b
tci03nov1c,tci03nov1c
tci03nov1d,tci03nov1d
tci03nov21a,tci03nov21a
tci03nov21c,tci03nov21c
tci03nov21d,tci03nov21d
tci03nov21f,tci03nov21f
tci03nov21g,tci03nov21g
tci03nov21h,tci03nov21h
tci03nov21i,tci03nov21i
tci03nov21j,tci03nov21j
tci03nov21k,tci03nov21k
tci03nov21l,tci03nov21l
tci03nov21m,tci03nov21m
tci03nov21n,tci03nov21n
tci03nov21o,tci03nov21o
tci03nov21p,tci03nov21p
tci03nov22a,tci03nov22a
tci03nov22b,tci03nov22b
tci03nov22c,tci03nov22c
tci03nov22d,tci03nov22d
tci03nov22e,tci03nov22e
tci03nov22f,tci03nov22f
tci03nov22g,tci03nov22g
tci03nov22h,tci03nov22h
tci03nov22i,tci03nov22i
tci03nov22j,tci03nov22j
tci03nov22k,tci03nov22k
tci03nov22l,tci03nov22l
tci03nov22n,tci03nov22n
tci03nov22o,tci03nov22o
tci03nov23a,tci03nov23a
tci03nov23b,tci03nov23b
tci03nov23c,tci03nov23c
tci03nov23d,tci03nov23d
tci03nov23e,tci03nov23e
tci03nov23f,tci03nov23f
tci03nov23g,tci03nov23g
tci03nov23h,tci03nov23h
tci03nov23i,tci03nov23i
tci03nov26a,tci03nov26a
tci03nov27a,tci03nov27a
tci03nov27b,tci03nov27b
tci03nov27c,tci03nov27c
tci03nov28a,tci03nov28a
tci03nov28b,tci03nov28b
tci03nov28c,tci03nov28c
tci03nov28d,tci03nov28d
tci03nov28e,tci03nov28e
tci03nov28f,tci03nov28f
tci03nov28g,tci03nov28g
tci03nov2a,tci03nov2a
tci03nov2b,tci03nov2b
tci03nov2c,tci03nov2c
tci03oct25a,tci03oct25a
tci03oct25b,tci03oct25b
tci03oct25c,tci03oct25c
tci03oct25d,tci03oct25d
tci03oct25e,tci03oct25e
tci03oct25f,tci03oct25f
tci03oct25i,tci03oct25i
tci03oct25j,tci03oct25j
tci03oct25k,tci03oct25k
tci03oct25l,tci03oct25l
tci03oct25m,tci03oct25m
tci03oct25n,tci03oct25n
tci03oct25o,tci03oct25o
tci03oct25p,tci03oct25p
tci03oct25q,tci03oct25q
tci03oct25r,tci03oct25r
tci03oct25s,tci03oct25s
tci03oct25t,tci03oct25t
tci03oct25u,tci03oct25u
tci03oct25v,tci03oct25v
tci03oct25w,tci03oct25w
tci03oct26a,tci03oct26a
tci03oct26b,tci03oct26b
tci03oct26c,tci03oct26c
tci03oct26d,tci03oct26d
tci03oct26e,tci03oct26e
tci03oct26f,tci03oct26f
tci03oct27a,tci03oct27a
tci03oct29a,tci03oct29a
tci03oct30a,tci03oct30a
tci03oct30b,tci03oct30b
tci03oct30c,tci03oct30c
tci03oct30d,tci03oct30d
tci03oct30e,tci03oct30e
tci03oct30f,tci03oct30f
tci03oct30g,tci03oct30g
tci03oct31a,tci03oct31a
