Larvae #,Family,Genus,Species,descriptor,Speed last interval,Time last interval,rate of increase,time increment,Date,time of trial,source,Date caught,time caught,NOTES,u-crit,TL(mm)
05LARV0265,Acanthuridae,Acanthurus,bahianus,,52.5,13,10.5,2,13-Jul-05,,cn1,13-Jul-05,600,,42.01031746,36.00997506
05LARV0026,Acanthuridae,Acanthurus,bahianus,,42,77,10.5,2,26-Jun-05,1810,cn2,26-Jun-05,9,,31.56111111,31.48984199
05LARV0027,Acanthuridae,Acanthurus,bahianus,,52.5,0,10.5,2,26-Jun-05,1810,cn2,26-Jun-05,9,,42,34.13065201
05LARV0028,Acanthuridae,Acanthurus,bahianus,,52.5,17,10.5,2,26-Jun-05,1810,cn2,26-Jun-05,9,,42.01349206,34.03963605
05LARV0144,Acanthuridae,Acanthurus,bahianus,,37.5,87,7.5,2,7-Jul-05,1000,cn2,7-Jul-05,700,,30.09666667,34.84289455
05LARV0323,Acanthuridae,Acanthurus,bahianus,,52.5,0,10.5,2,29-Jul-05,,cn2,,,,42,32.67303399
05LARV0240,Acanthuridae,Acanthurus,bahianus,,42,84,10.5,2,12-Jul-05,,cn3,12-Jul-05,600,,31.56666667,35.96099939
05LARV0280,Acanthuridae,Acanthurus,bahianus,,42,27,10.5,2,14-Jul-05,,cn3,14-Jul-05,630,,31.52142857,35
05LARV0003,Acanthuridae,Acanthurus,bahianus,,53,18.67,9.6,2,9-Jun-05,,lt,9-Jun-05,6,ectoparasite,43.4162066,3.2
05LARV0044,Acanthuridae,Acanthurus,bahianus,,42,31,10.5,2,2-Jul-05,1135,,2-Jul-05,7,,31.52460317,32.38014281
05LARV0045,Acanthuridae,Acanthurus,bahianus,,42,50,10.5,2,2-Jul-05,1135,,2-Jul-05,7,,31.53968254,34.20371757
05LARV0057,Acanthuridae,Acanthurus,chirurgus,,52.5,9.5,10.5,2,3-Jul-05,1030,,3-Jul-05,7,,42.00753968,33.97689658
05LARV0145,Acanthuridae,Acanthurus,coeruleus,,60,24,7.5,2,7-Jul-05,1000,cn2,7-Jul-05,700,,52.52666667,35.34277824
05LARV0077,Acanthuridae,Acanthurus,coeruleus,,52.5,74,10.5,2,5-Jul-05,830,cn3,5-Jul-05,630,,42.05873016,36.57473529
05LARV0078,Acanthuridae,Acanthurus,coeruleus,,52.5,20,10.5,2,5-Jul-05,830,cn3,5-Jul-05,630,,42.01587302,35.61204097
05LARV0218,Acanthuridae,Acanthurus,coeruleus,,42,42,10.5,2,11-Jul-05,,lt,11-Jul-05,800,,31.53333333,35.56985754
05LARV0093,Antennariidae,,Sp1,,3.4,0,1.5,2,5-Jul-05,1030,cn3,5-Jul-05,630,,1.9,7.200598802
05LARV0285,Antennariidae,,Sp2,frogfish,15,7,1.5,2,14-Jul-05,,cn1,14-Jul-05,630,,13.53888889,11.00780501
05LARV0291,Antennariidae,,Sp2,,4.5,43,1.5,2,24-Jul-05,,cn2,,,,3.238888889,13.00364816
05LARV0189,Apogonidae,Apogon,maculatus,,30,57,7.5,2,9-Jul-05,820,cn1,9-Jul-05,700,,22.56333333,19.54284287
05LARV0190,Apogonidae,Apogon,maculatus,,30,57,7.5,2,9-Jul-05,820,cn1,9-Jul-05,700,,22.56333333,17.11262467
05LARV0228,Apogonidae,Apogon,maculatus,,30,19,7.5,2,11-Jul-05,,cn1,11-Jul-05,800,,22.52111111,19.91204819
05LARV0229,Apogonidae,Apogon,maculatus,,30,59,7.5,2,11-Jul-05,,cn1,11-Jul-05,800,,22.56555556,19.98795906
05LARV0005,Apogonidae,Apogon,maculatus,,22.5,11.85,7.5,2,22-Jun-05,,cn2,22-Jun-05,6,,15.01316667,19.97069011
05LARV0029,Apogonidae,Apogon,maculatus,,27,8.9,4.5,2,26-Jun-05,1825,cn2,26-Jun-05,9,,22.51648148,13.23099065
05LARV0031,Apogonidae,Apogon,maculatus,,22.5,112,4.5,2,26-Jun-05,1825,cn2,26-Jun-05,9,,18.20740741,11.31354901
05LARV0082,Apogonidae,Apogon,maculatus,,30,85,7.5,2,5-Jul-05,905,cn3,5-Jul-05,630,,22.59444444,19.80934809
05LARV0038,Apogonidae,Apogon,maculatus,,18,79,4.5,2,2-Jul-05,1048,,2-Jul-05,7,,13.6462963,13.71690978
05LARV0066,Apogonidae,Apogon,maculatus,,30,60,7.5,2,3-Jul-05,1150,,3-Jul-05,7,,22.56666667,19.476969
05LARV0072,Apogonidae,Apogon,maculatus,,18,59,4.5,2,4-Jul-05,800,,4-Jul-05,630,,13.60925926,19.36537564
05LARV0140,Apogonidae,Apogon,planifrons,,30,57,7.5,2,7-Jul-05,,cn1,7-Jul-05,700,,22.56333333,23.13529765
05LARV0230,Apogonidae,Apogon,planifrons,robinsi?,30,6,7.5,2,11-Jul-05,,cn1,11-Jul-05,800,,22.50666667,18.67691199
05LARV0030,Apogonidae,Apogon,planifrons,,18,87,4.5,2,26-Jun-05,1825,cn2,26-Jun-05,9,,13.66111111,13.83472057
05LARV0087,Apogonidae,Apogon,planifrons,,27,63,4.5,2,5-Jul-05,953,cn3,5-Jul-05,630,,22.61666667,20.9886972
05LARV0149,Apogonidae,Astrapogon,puncticulatus,,27,60,4.5,15,7-Jul-05,1100,cn1,7-Jul-05,700,,22.61111111,
05LARV0010,Apogonidae,Astrapogon,puncticulatus,black finned,22.5,63.25,3.5,2,22-Jun-05,1455,cn2,22-Jun-05,6,,19.15059524,14.31266522
05LARV0020,Apogonidae,Astrapogon,puncticulatus,,27,3,4.5,2,26-Jun-05,1727,cn2,26-Jun-05,9,,22.50555556,15.70829338
05LARV0021,Apogonidae,Astrapogon,puncticulatus,,22.5,95,4.5,2,26-Jun-05,1727,cn2,26-Jun-05,9,,18.17592593,17.99374131
05LARV0022,Apogonidae,Astrapogon,puncticulatus,,27,95,4.5,2,26-Jun-05,1727,cn2,26-Jun-05,9,,22.67592593,17.6567733
05LARV0207,Apogonidae,Astrapogon,puncticulatus,,13.5,60,4.5,2,10-Jul-05,,cn3,10-Jul-05,700,,9.111111111,8.67990373
05LARV0208,Apogonidae,Astrapogon,puncticulatus,,13.5,110,4.5,2,10-Jul-05,,cn3,10-Jul-05,700,,9.203703704,8.279224787
05LARV0209,Apogonidae,Astrapogon,puncticulatus,,13.5,0,4.5,2,10-Jul-05,,cn3,10-Jul-05,700,,9,8.373170732
05LARV0212,Apogonidae,Astrapogon,puncticulatus,,19.5,23,1.5,2,10-Jul-05,,cn3,10-Jul-05,700,,18.12777778,9.745318352
03larv0065,Apogonidae,Astrapogon,puncticulatus,,15.8,70,3.6,2,,,liftnet,,,,14.3,12
05LARV0047,Apogonidae,Astrapogon,puncticulatus,,22.5,96,4.5,2,2-Jul-05,1230,,2-Jul-05,7,,18.17777778,16.70415454
05LARV0048,Apogonidae,Astrapogon,puncticulatus,,27,38,4.5,2,2-Jul-05,1230,,2-Jul-05,7,,22.57037037,17.17514505
05LARV0098,Apogonidae,Astrapogon,puncticulatus,,27,27,4.5,2,5-Jul-05,1040,,5-Jul-05,630,,22.55,13.3517739
05LARV0134,Apogonidae,Astrapogon,puncticulatus,,27,82,4.5,15,6-Jul-05,1230,,6-Jul-05,700,sample lost,22.65185185,
05LARV0135,Apogonidae,Astrapogon,puncticulatus,,22.5,263,4.5,15,6-Jul-05,1230,,6-Jul-05,700,,18.48703704,
05LARV0136,Apogonidae,Astrapogon,puncticulatus,,22.5,312,4.5,15,6-Jul-05,1230,,6-Jul-05,700,,18.57777778,
05LARV0195,Apogonidae,Astrapogon,puncticulatus,,22.5,464,4.5,15,9-Jul-05,1030,,9-Jul-05,700,,18.85925926,
05LARV0234,Apogonidae,Astrapogon,puncticulatus,,27,30,4.5,15,11-Jul-05,,,11-Jul-05,800,,22.55555556,
05LARV0238,Apogonidae,Astrapogon,puncticulatus,,27,213,4.5,15,11-Jul-05,,,11-Jul-05,800,,22.89444444,
05LARV0231,Apogonidae,Apogon,quadrisquamatus,,22.5,35,7.5,2,11-Jul-05,,cn1,11-Jul-05,800,,15.03888889,19.77294118
05LARV0232,Apogonidae,Apogon,quadrisquamatus,,30,67,7.5,2,11-Jul-05,,cn1,11-Jul-05,800,,22.57444444,20.81044957
05LARV0233,Apogonidae,Apogon,quadrisquamatus,,37.5,18,7.5,2,11-Jul-05,,cn1,11-Jul-05,800,,30.02,22.41010222
05LARV0270,Apogonidae,Apogon,quadrisquamatus,,27,27,4.5,2,13-Jul-05,,cn1,13-Jul-05,600,,22.55,19.13465539
05LARV0256,Apogonidae,Apogon,quadrisquamatus,,30,102,7.5,15,12-Jul-05,,cn1,12-Jul-05,600,,22.61333333,
05LARV0257,Apogonidae,Apogon,quadrisquamatus,,30,93,7.5,15,12-Jul-05,,cn1,12-Jul-05,600,,22.60333333,
05LARV0258,Apogonidae,Apogon,quadrisquamatus,,30,68,7.5,15,12-Jul-05,,cn1,12-Jul-05,600,,22.57555556,
05LARV0260,Apogonidae,Apogon,quadrisquamatus,,22.5,180,7.5,15,12-Jul-05,,cn1,12-Jul-05,600,,15.2,
05LARV0261,Apogonidae,Apogon,quadrisquamatus,,30,74,7.5,15,12-Jul-05,,cn1,12-Jul-05,600,,22.58222222,
05LARV0274,Apogonidae,Apogon,quadrisquamatus,,30,10,7.5,15,13-Jul-05,,cn1,13-Jul-05,600,,22.51111111,
05LARV0276,Apogonidae,Apogon,quadrisquamatus,,30,40,7.5,15,13-Jul-05,,cn1,13-Jul-05,600,,22.54444444,
05LARV0278,Apogonidae,Apogon,quadrisquamatus,,30,156,7.5,15,13-Jul-05,,cn1,13-Jul-05,600,,22.67333333,
05LARV0006,Apogonidae,Apogon,quadrisquamatus,,36,48.44,3.5,2,22-Jun-05,1410,cn2,22-Jun-05,6,,32.61533333,21.99262462
05LARV0007,Apogonidae,Apogon,quadrisquamatus,,22.5,78.5,3.5,2,22-Jun-05,1435,cn2,22-Jun-05,6,,19.18690476,19.60875413
05LARV0008,Apogonidae,Apogon,quadrisquamatus,,27,25.76,3.5,2,22-Jun-05,1435,cn2,22-Jun-05,6,,23.56133333,12.30546856
05LARV0009,Apogonidae,Apogon,quadrisquamatus,,4.5,10,3.5,2,22-Jun-05,1435,cn2,22-Jun-05,6,,1.023809524,17.52080856
05LARV0011,Apogonidae,Apogon,quadrisquamatus,,9,28,3.5,2,22-Jun-05,1455,cn2,22-Jun-05,6,,5.566666667,18.22934233
05LARV0284,Apogonidae,Apogon,quadrisquamatus,,30,20,7.5,2,14-Jul-05,,cn2,14-Jul-05,630,,22.52222222,22.75183594
05LARV0259,Apogonidae,Apogon,quadrisquamatus,,30,5,7.5,15,12-Jul-05,,cn2,12-Jul-05,600,,22.50555556,
05LARV0205,Apogonidae,Apogon,quadrisquamatus,,30,32,7.5,2,10-Jul-05,,cn3,10-Jul-05,700,,22.53555556,25.42393265
05LARV0036,Apogonidae,Apogon,quadrisquamatus,,30,28,7.5,2,2-Jul-05,1030,,2-Jul-05,7,,22.53111111,19.34330209
05LARV0046,Apogonidae,Apogon,quadrisquamatus,,27,65,4.5,2,2-Jul-05,1230,,2-Jul-05,7,,22.62037037,22.24765117
05LARV0061,Apogonidae,Apogon,quadrisquamatus,,30,52,7.5,2,3-Jul-05,1045,,3-Jul-05,7,,22.55777778,22.6500379
05LARV0062,Apogonidae,Apogon,quadrisquamatus,,30,0,7.5,2,3-Jul-05,1045,,3-Jul-05,7,,22.5,20.20910127
05LARV0088,Apogonidae,Apogon,,,22.5,0,4.5,2,5-Jul-05,953,cn3,5-Jul-05,630,,18,14.12490743
05LARV0161,Apogonidae,Apogon,,,30,37,7.5,2,8-Jul-05,1000,cn3,8-Jul-05,700,,22.54111111,20.26306392
05LARV0040,Apogonidae,Apogon,,,27,6,4.5,2,2-Jul-05,1048,,2-Jul-05,7,gts 22.5,22.51111111,14.13356282
05LARV0097,Apogonidae,Apogon,,,22.5,104,4.5,2,5-Jul-05,1040,,5-Jul-05,630,,18.19259259,13.34777377
05LARV0296,Balistidae,,Sp1,,18,37,4.5,2,26-Jul-05,,cn3,,,,13.56851852,10.39372994
05LARV0297,Balistidae,,Sp1,,18,107,4.5,2,26-Jul-05,,cn3,,,,13.69814815,11.04811199
05LARV0298,Balistidae,,Sp1,,18,49,4.5,2,26-Jul-05,,cn3,,,,13.59074074,10.48565647
05LARV0299,Balistidae,,Sp1,,13.5,90,4.5,2,26-Jul-05,,cn3,,,,9.166666667,
05LARV0075,Blenniidae,Ophioblennius,atlanticus,"""atlanticus""",7.5,26,1.5,2,4-Jul-05,900,,4-Jul-05,630,,6.144444444,15.92394534
05LARV0282,Carangidae,,Sp1,carangidae?,30,47,7.5,2,14-Jul-05,,cn3,14-Jul-05,630,,22.55222222,16.71578947
05LARV0037,Carangidae,,Sp1,,37.5,34,7.5,2,2-Jul-05,1030,,2-Jul-05,7,,30.03777778,19.00686529
05LARV0325,Carangidae,,Sp2,,18,15,4.5,2,30-Jul-05,,cn1,,,,13.52777778,8.231343284
05LARV0330,Carangidae,,Sp2,,22.5,22,4.5,2,30-Jul-05,,cn1,,,,18.04074074,9.181690141
05LARV0317,Carangidae,,Sp2,,30,2,7.5,2,27-Jul-05,,cn2,,,,22.50222222,11.11124331
05LARV0318,Carangidae,,Sp2,,22.5,32,7.5,2,27-Jul-05,,cn2,,,,15.03555556,8.363045049
05LARV0293,Carangidae,,Sp2,,27,41,4.5,2,26-Jul-05,,cn3,,,,22.57592593,10.8961696
05LARV0160,Chaenopsidae,,,????,22.5,0,7.5,2,8-Jul-05,1000,cn2,8-Jul-05,700,,15,34.10624045
05LARV0130,Chaetodontidae,Chaetodon,capistratus,,45,15,7.5,2,6-Jul-05,1140,cn1,6-Jul-05,700,,37.51666667,22.41234568
05LARV0202,Chaetodontidae,Chaetodon,capistratus,,37.5,92,7.5,2,10-Jul-05,,cn1,10-Jul-05,700,,30.10222222,16.61815995
05LARV0203,Chaetodontidae,Chaetodon,capistratus,,45,44,7.5,2,10-Jul-05,,cn1,10-Jul-05,700,,37.54888889,17.90387183
05LARV0275,Chaetodontidae,Chaetodon,capistratus,,37.5,68,7.5,15,13-Jul-05,,cn1,13-Jul-05,600,,30.07555556,
05LARV0277,Chaetodontidae,Chaetodon,capistratus,,37.5,124,7.5,15,13-Jul-05,,cn1,13-Jul-05,600,,30.13777778,
05LARV0279,Chaetodontidae,Chaetodon,capistratus,,37.5,158,7.5,15,13-Jul-05,,cn1,13-Jul-05,600,,30.17555556,
05LARV0198,Chaetodontidae,Chaetodon,capistratus,,37.5,115,7.5,2,10-Jul-05,900,cn2,10-Jul-05,700,,30.12777778,17.00073873
05LARV0199,Chaetodontidae,Chaetodon,capistratus,,37.5,109,7.5,2,10-Jul-05,,cn2,10-Jul-05,700,,30.12111111,17.34730755
05LARV0200,Chaetodontidae,Chaetodon,capistratus,,45,25,7.5,2,10-Jul-05,,cn2,10-Jul-05,700,,37.52777778,16.79382716
05LARV0283,Chaetodontidae,Chaetodon,capistratus,,30,55,7.5,2,14-Jul-05,,cn2,14-Jul-05,630,,22.56111111,16.49701844
05LARV0253,Chaetodontidae,Chaetodon,capistratus,,37.5,693,7.5,15,12-Jul-05,,cn2,12-Jul-05,600,,30.77,
05LARV0254,Chaetodontidae,Chaetodon,capistratus,,37.5,51,7.5,15,12-Jul-05,,cn2,12-Jul-05,600,,30.05666667,
05LARV0255,Chaetodontidae,Chaetodon,capistratus,,37.5,30,7.5,15,12-Jul-05,,cn2,12-Jul-05,600,,30.03333333,
05LARV0262,Chaetodontidae,Chaetodon,capistratus,,37.5,630,7.5,15,12-Jul-05,,cn2,12-Jul-05,600,,30.7,
05LARV0263,Chaetodontidae,Chaetodon,capistratus,,37.5,86,7.5,15,12-Jul-05,,cn2,12-Jul-05,600,,30.09555556,
05LARV0264,Chaetodontidae,Chaetodon,capistratus,,45,34,7.5,15,12-Jul-05,,cn2,12-Jul-05,600,,37.53777778,
05LARV0201,Chaetodontidae,Chaetodon,capistratus,,37.5,101,7.5,2,10-Jul-05,,cn3,10-Jul-05,700,,30.11222222,17.22141998
05LARV0242,Chaetodontidae,Chaetodon,capistratus,,37.5,36,7.5,2,12-Jul-05,,cn3,12-Jul-05,600,,30.04,16.96871239
05LARV0243,Chaetodontidae,Chaetodon,capistratus,,37.5,8,7.5,2,12-Jul-05,,cn3,12-Jul-05,600,,30.00888889,17.40763322
03larv0045,Chaetodontidae,Chaetodon,capistratus,,59,19.3,4.5,2,,,liftnet,,,,55.22375,15
05LARV0106,Chaetodontidae,Chaetodon,capistratus,,37.5,33,7.5,2,6-Jul-05,900,lt,6-Jul-05,700,,30.03666667,16.24679917
05LARV0107,Chaetodontidae,Chaetodon,capistratus,,37.5,30,7.5,2,6-Jul-05,900,lt,6-Jul-05,700,,30.03333333,17.61661426
05LARV0108,Chaetodontidae,Chaetodon,capistratus,,37.5,86,7.5,2,6-Jul-05,900,lt,6-Jul-05,700,,30.09555556,19.4082397
05LARV0109,Chaetodontidae,Chaetodon,capistratus,,37.5,57,7.5,2,6-Jul-05,930,lt,6-Jul-05,700,,30.06333333,34.25121951
05LARV0110,Chaetodontidae,Chaetodon,capistratus,,37.5,24,7.5,2,6-Jul-05,930,lt,6-Jul-05,700,,30.02666667,16.81240891
05LARV0111,Chaetodontidae,Chaetodon,capistratus,,37.5,28,7.5,2,6-Jul-05,930,lt,6-Jul-05,700,,30.03111111,17.676666
05LARV0112,Chaetodontidae,Chaetodon,capistratus,,37.5,45,7.5,2,6-Jul-05,930,lt,6-Jul-05,700,,30.05,18.3638137
05LARV0113,Chaetodontidae,Chaetodon,capistratus,,37.5,66,7.5,2,6-Jul-05,930,lt,6-Jul-05,700,,30.07333333,17.29583233
