Larvae #,Family,Genus,Species,descriptor,Speed last interval,Time last interval,rate of increase,time increment,Date,time of trial,source,Date caught,time caught,NOTES,u-crit,TL(mm)
05LARV0032,Pomacentridae,Stegastes,diencaeus,,27,65,4.5,2,2-Jul-05,1000,,2-Jul-05,7,,22.62037037,12.34927724
05LARV0033,Pomacentridae,Stegastes,diencaeus,,31.5,24,4.5,2,2-Jul-05,1000,,2-Jul-05,7,,27.04444444,12.14131218
05LARV0034,Pomacentridae,Stegastes,diencaeus,,36,1,4.5,2,2-Jul-05,1000,,2-Jul-05,7,,31.50185185,11.48408586
05LARV0049,Pomacentridae,Stegastes,diencaeus,,31.5,87,4.5,2,2-Jul-05,1245,,2-Jul-05,7,,27.16111111,13.56776356
05LARV0050,Pomacentridae,Stegastes,diencaeus,,31.5,19,4.5,2,2-Jul-05,1245,,2-Jul-05,7,,27.03518519,13.16680544
05LARV0051,Pomacentridae,Stegastes,diencaeus,,31.5,94,4.5,2,2-Jul-05,1245,,2-Jul-05,7,,27.17407407,12.01024496
05LARV0068,Pomacentridae,Stegastes,diencaeus,,37.5,9,7.5,2,3-Jul-05,1150,,3-Jul-05,7,,30.01,12.78364999
05LARV0073,Pomacentridae,Stegastes,diencaeus,,31.5,49,4.5,2,4-Jul-05,800,,4-Jul-05,630,,27.09074074,12.68101266
05LARV0074,Pomacentridae,Stegastes,diencaeus,,36,14,4.5,2,4-Jul-05,800,,4-Jul-05,630,,31.52592593,11.7888598
05LARV0102,Pomacentridae,Stegastes,diencaeus,,27,70,4.5,2,5-Jul-05,1120,,5-Jul-05,630,,22.62962963,12.0525641
05LARV0103,Pomacentridae,Stegastes,diencaeus,,31.5,59,4.5,2,5-Jul-05,1120,,5-Jul-05,630,,27.10925926,12.2490887
05LARV0104,Pomacentridae,Stegastes,diencaeus,,36,10,4.5,2,5-Jul-05,1120,,5-Jul-05,630,,31.51851852,7.95515364
05LARV0131,Pomacentridae,Stegastes,diencaeus,,36,45,4.5,15,6-Jul-05,1230,,6-Jul-05,700,,31.58333333,
05LARV0132,Pomacentridae,Stegastes,diencaeus,,36,17,4.5,15,6-Jul-05,1230,,6-Jul-05,700,,31.53148148,
05LARV0133,Pomacentridae,Stegastes,diencaeus,,36,150,4.5,15,6-Jul-05,1230,,6-Jul-05,700,,31.77777778,
05LARV0191,Pomacentridae,Stegastes,diencaeus,,36,22,4.5,15,9-Jul-05,833,,9-Jul-05,700,,31.54074074,
05LARV0192,Pomacentridae,Stegastes,diencaeus,,36,13,4.5,15,9-Jul-05,833,,9-Jul-05,700,,31.52407407,
05LARV0193,Pomacentridae,Stegastes,diencaeus,,40.5,11,4.5,15,9-Jul-05,833,,9-Jul-05,700,,36.02037037,
05LARV0194,Pomacentridae,Stegastes,diencaeus,,36,92,4.5,15,9-Jul-05,1030,,9-Jul-05,700,,31.67037037,
05LARV0213,Pomacentridae,Stegastes,diencaeus,,36,26,4.5,15,10-Jul-05,,,10-Jul-05,700,,31.54814815,
05LARV0214,Pomacentridae,Stegastes,diencaeus,,36,73,4.5,15,10-Jul-05,,,10-Jul-05,700,,31.63518519,
05LARV0215,Pomacentridae,Stegastes,diencaeus,,36,14,4.5,15,10-Jul-05,,,10-Jul-05,700,,31.52592593,
05LARV0321,Pomacentridae,Stegastes,dorsopunicans,,36,13,4.5,2,29-Jul-05,,cn1,,,,31.52407407,14.97375656
05LARV0158,Pomacentridae,Stegastes,leucostictus,,36,25,4.5,2,8-Jul-05,940,lt,8-Jul-05,700,,31.5462963,14.2097561
05LARV0159,Pomacentridae,Stegastes,leucostictus,,36,15,4.5,2,8-Jul-05,940,lt,8-Jul-05,700,,31.52777778,
05LARV0023,Pomacentridae,Stegastes,partitus,,36,27,4.5,2,26-Jun-05,1750,cn2,26-Jun-05,9,,31.55,17.41485686
05LARV0024,Pomacentridae,Stegastes,partitus,,31.5,65,4.5,2,26-Jun-05,1750,cn2,26-Jun-05,9,,27.12037037,16.58886894
05LARV0025,Pomacentridae,Stegastes,partitus,,36,37,4.5,2,26-Jun-05,1750,cn2,26-Jun-05,9,,31.56851852,17.87137792
03larv0012,Pomacentridae,Stegastes,partitus,,9.4,9.6,4.4,2,,,liftnet,,,,5.352,14.4
03larv0032,Pomacentridae,Stegastes,partitus,,50,34,4.5,2,,,liftnet,,,,46.775,15
03larv0033,Pomacentridae,Stegastes,partitus,,54.5,23.6,4.5,2,,,liftnet,,,,50.885,15
03larv0044,Pomacentridae,Stegastes,partitus,,47,55,4.2,2,,,liftnet,,,,44.725,14
04larv0001,Pomacentridae,Stegastes,partitus,,23,12.09,3,2,,,liftnet,,,,20.03358333,9
05LARV0002,Pomacentridae,Stegastes,partitus,,48.92,2.64,3.66,2,9-Jun-05,,lt,9-Jun-05,6,,45.26601093,12.2
05LARV0115,Pomacentridae,Stegastes,partitus,,36,32,4.5,2,6-Jul-05,1000,lt,6-Jul-05,700,,31.55925926,16.62897274
05LARV0116,Pomacentridae,Stegastes,partitus,,36,37,4.5,2,6-Jul-05,1000,lt,6-Jul-05,700,,31.56851852,16.31071429
05LARV0137,Pomacentridae,Stegastes,partitus,,31.5,15,4.5,2,7-Jul-05,900,lt,7-Jul-05,700,,27.02777778,16.00172712
05LARV0138,Pomacentridae,Stegastes,partitus,,31.5,0,4.5,2,7-Jul-05,900,lt,7-Jul-05,700,,27,16.8738574
05LARV0139,Pomacentridae,Stegastes,partitus,,36,55,4.5,2,7-Jul-05,900,lt,7-Jul-05,700,,31.60185185,16.18876512
05LARV0164,Pomacentridae,Stegastes,partitus,,40.5,73,4.5,2,8-Jul-05,1034,lt,8-Jul-05,700,,36.13518519,18.09897481
05LARV0165,Pomacentridae,Stegastes,partitus,,40.5,43,4.5,2,8-Jul-05,1034,lt,8-Jul-05,700,,36.07962963,16.75783133
05LARV0166,Pomacentridae,Stegastes,partitus,,40.5,14,4.5,2,8-Jul-05,1034,lt,8-Jul-05,700,,36.02592593,16.76051188
05LARV0167,Pomacentridae,Stegastes,partitus,,36,82,4.5,2,8-Jul-05,1050,lt,8-Jul-05,700,,31.65185185,17.32378719
05LARV0168,Pomacentridae,Stegastes,partitus,,36,63,4.5,2,8-Jul-05,1050,lt,8-Jul-05,700,,31.61666667,16.67037037
05LARV0169,Pomacentridae,Stegastes,partitus,,36,20,4.5,2,8-Jul-05,1050,lt,8-Jul-05,700,,31.53703704,16.03010116
05LARV0170,Pomacentridae,Stegastes,partitus,,37.5,65,7.5,2,8-Jul-05,1115,lt,8-Jul-05,700,,30.07222222,17.11153939
05LARV0171,Pomacentridae,Stegastes,partitus,,37.5,26,7.5,2,8-Jul-05,1115,lt,8-Jul-05,700,,30.02888889,16.00962117
05LARV0172,Pomacentridae,Stegastes,partitus,,37.5,41,7.5,2,8-Jul-05,1115,lt,8-Jul-05,700,,30.04555556,16.87906529
05LARV0173,Pomacentridae,Stegastes,partitus,,36,10,4.5,2,8-Jul-05,1130,lt,8-Jul-05,700,,31.51851852,
05LARV0174,Pomacentridae,Stegastes,partitus,,36,33,4.5,2,8-Jul-05,1130,lt,8-Jul-05,700,,31.56111111,
05LARV0175,Pomacentridae,Stegastes,partitus,,36,14,4.5,2,8-Jul-05,1130,lt,8-Jul-05,700,,31.52592593,
05LARV0176,Pomacentridae,Stegastes,partitus,,36,100,4.5,2,8-Jul-05,1130,lt,8-Jul-05,700,,31.68518519,
05LARV0177,Pomacentridae,Stegastes,partitus,,36,107,4.5,2,8-Jul-05,1130,lt,8-Jul-05,700,,31.69814815,
05LARV0178,Pomacentridae,Stegastes,partitus,,40.5,5,4.5,2,8-Jul-05,1130,lt,8-Jul-05,700,,36.00925926,
05LARV0179,Pomacentridae,Stegastes,partitus,,37.5,4,4.5,2,8-Jul-05,1145,lt,8-Jul-05,700,,33.00740741,17.12257746
05LARV0180,Pomacentridae,Stegastes,partitus,,45,0,4.5,2,8-Jul-05,1145,lt,8-Jul-05,700,,40.5,17.78148148
05LARV0181,Pomacentridae,Stegastes,partitus,,37.5,21,4.5,2,8-Jul-05,1145,lt,8-Jul-05,700,,33.03888889,17.71639951
05LARV0182,Pomacentridae,Stegastes,partitus,,36,225,4.5,15,8-Jul-05,1200,lt,8-Jul-05,700,,31.91666667,
05LARV0183,Pomacentridae,Stegastes,partitus,,40.5,37,4.5,15,8-Jul-05,1200,lt,8-Jul-05,700,,36.06851852,
05LARV0184,Pomacentridae,Stegastes,partitus,,36,14,4.5,15,8-Jul-05,1200,lt,8-Jul-05,700,,31.52592593,
05LARV0185,Pomacentridae,Stegastes,partitus,,40.5,92,4.5,15,8-Jul-05,1200,lt,8-Jul-05,700,,36.17037037,
05LARV0186,Pomacentridae,Stegastes,partitus,,40.5,56,4.5,15,8-Jul-05,1200,lt,8-Jul-05,700,,36.1037037,
05LARV0187,Pomacentridae,Stegastes,partitus,,40.5,120,4.5,15,8-Jul-05,1200,lt,8-Jul-05,700,,36.22222222,
05LARV0236,Pomacentridae,Stegastes,partitus,,36,14,4.5,15,11-Jul-05,,,11-Jul-05,800,,31.52592593,
05LARV0237,Pomacentridae,Stegastes,partitus,,40.5,45,4.5,15,11-Jul-05,,,11-Jul-05,800,,36.08333333,
05LARV0227,Pomacentridae,Abudefduf,saxatilis,,36,49,4.5,2,11-Jul-05,,cn1,11-Jul-05,800,,31.59074074,15.32473851
05LARV0083,Pomacentridae,Abudefduf,saxatilis,,37.5,16,7.5,2,5-Jul-05,905,cn3,5-Jul-05,630,,30.01777778,16.0313253
05LARV0322,Pomacentridae,Abudefduf,saxatilis,,31.5,67,4.5,2,29-Jul-05,,cn3,,,,27.12407407,17.02598051
05LARV0326,Pomacentridae,Abudefduf,saxatilis,,31.5,22,4.5,2,30-Jul-05,,cn3,,,,27.04074074,16.17229634
03larv0001,Pomacentridae,Abudefduf,saxatilis,,23,2,3,2,,,liftnet,,,,20.02,13.3
03larv0002,Pomacentridae,Abudefduf,saxatilis,,27,278,4.4,2,,,liftnet,,,,26.67733333,14.7
03larv0003,Pomacentridae,Abudefduf,saxatilis,,59.4,19,6.8,2,,,liftnet,,,,53.03066667,22.6
03larv0004,Pomacentridae,Abudefduf,saxatilis,,51,299,4.6,2,,,liftnet,,,,50.98466667,15.3
03larv0005,Pomacentridae,Abudefduf,saxatilis,,40.2,70,4.4,2,,,liftnet,,,,36.82666667,14.6
03larv0006,Pomacentridae,Abudefduf,saxatilis,,41,72,4.5,2,,,liftnet,,,,37.58,14.9
03larv0014,Pomacentridae,Abudefduf,saxatilis,,43.4,4,4.8,2,,,liftnet,,,,38.76,16
03larv0015,Pomacentridae,Abudefduf,saxatilis,,24.2,32.6,4.8,2,,,liftnet,,,,20.704,16.6
03larv0016,Pomacentridae,Abudefduf,saxatilis,,23,9.9,4.5,2,,,liftnet,,,,18.87125,15.4
03larv0020,Pomacentridae,Abudefduf,saxatilis,,62.6,17.2,3.6,2,,,liftnet,,,,59.516,12
03larv0055,Pomacentridae,Abudefduf,saxatilis,,57,2.5,4,2,,,liftnet,,,,53.08333333,13.5
03larv0056,Pomacentridae,Abudefduf,saxatilis,,37,78.1,4,2,,,liftnet,,,,35.60333333,13
03larv0057,Pomacentridae,Abudefduf,saxatilis,,25,4.2,4,2,,,liftnet,,,,21.14,13.5
03larv0061,Pomacentridae,Abudefduf,saxatilis,,21,21.4,4,2,,,liftnet,,,,17.71333333,13.5
03larv0062,Pomacentridae,Abudefduf,saxatilis,,21,12.8,4,2,,,liftnet,,,,17.42666667,13.5
03larv0063,Pomacentridae,Abudefduf,saxatilis,,17,63.4,4,2,,,liftnet,,,,15.11333333,13
03larv0064,Pomacentridae,Abudefduf,saxatilis,,21,21.7,4,2,,,liftnet,,,,17.72333333,13.5
05LARV0067,Pomacentridae,Abudefduf,saxatilis,,30,30,7.5,2,3-Jul-05,1150,,3-Jul-05,7,,22.53333333,17.03764657
03larv0029,Scaridae,,Sp1,,8,40,3,2,,,liftnet,,,,6,9
03larv0007,Scorpaenidae,,Sp1,,17,25.1,3,2,,,liftnet,,,,14.6275,9.5
05LARV0014,Serranidae,Epinephelus,mystacinus,misty grouper,22.5,116,4.5,2,26-Jun-05,1620,cn2,26-Jun-05,9,,18.21481481,11.12926829
05LARV0015,Serranidae,Epinephelus,mystacinus,misty grouper,13.5,24,4.5,2,26-Jun-05,1620,cn2,26-Jun-05,9,no tail,9.044444444,8.368529021
05LARV0294,Serranidae,Epinephelus,mystacinus,,18,42,4.5,2,26-Jul-05,,cn3,,,,13.57777778,10.98646507
05LARV0295,Serranidae,Epinephelus,mystacinus,,18,52,4.5,2,26-Jul-05,,cn3,,,,13.5962963,10.12379479
05LARV0210,Serranidae,,Sp1,same as 211,12,0,1.5,2,10-Jul-05,,cn3,10-Jul-05,700,,10.5,8.464500602
05LARV0211,Serranidae,,Sp1,same as 210,15,0,1.5,2,10-Jul-05,,cn3,10-Jul-05,700,,13.5,9.543322636
05LARV0226,Serranidae,,Sp2,soapfish?,13.5,52,4.5,2,11-Jul-05,,cn1,11-Jul-05,800,,9.096296296,13.48150825
03larv0047,Serranidae,Epinephelus,SpA,,42.8,48.6,4.2,2,,,liftnet,,,,40.301,14
03larv0049,Serranidae,Epinephelus,SpA,,34.4,99.9,4.2,2,,,liftnet,,,,33.6965,14
04larv0003,Serranidae,Epinephelus,SpA,,33,119.99,3.9,2,,,liftnet,,,,29.35638889,13
04larv0007,Serranidae,Epinephelus,SpA,,63.8,65.97,4.2,2,,,liftnet,,,,59.73089286,14
05LARV0249,Sphyraenidae,Sphyraena,barracuda,,22.5,71,4.5,2,12-Jul-05,,cn1,12-Jul-05,600,,18.13148148,17.22937989
05LARV0147,Sphyraenidae,Sphyraena,barracuda,,18,79,4.5,2,7-Jul-05,1000,cn2,7-Jul-05,700,,13.6462963,17.45640409
05LARV0148,Sphyraenidae,Sphyraena,barracuda,,22.5,0,4.5,2,7-Jul-05,1000,cn2,7-Jul-05,700,,18,15.66334494
05LARV0301,Sphyraenidae,Sphyraena,barracuda,,22.5,73,4.5,2,26-Jul-05,,cn3,,,,18.13518519,19.25189736
05LARV0035,Sphyraenidae,Sphyraena,barracuda,,22.5,41,7.5,2,2-Jul-05,1030,,2-Jul-05,7,,15.04555556,22.67372824
05LARV0052,Sphyraenidae,Sphyraena,barracuda,,22.5,115,4.5,2,2-Jul-05,1305,,2-Jul-05,7,,18.21296296,
05LARV0053,Sphyraenidae,Sphyraena,barracuda,,22.5,120,4.5,2,2-Jul-05,1305,,2-Jul-05,7,,18.22222222,19.94058622
05LARV0069,Sphyraenidae,Sphyraena,barracuda,,27,33,4.5,2,3-Jul-05,1205,,3-Jul-05,7,,22.56111111,18.4328409
05LARV0070,Sphyraenidae,Sphyraena,barracuda,,27,10,4.5,2,3-Jul-05,1205,,3-Jul-05,7,,22.51851852,18.83682809
05LARV0071,Sphyraenidae,Sphyraena,barracuda,,27,76,4.5,2,3-Jul-05,1205,,3-Jul-05,7,,22.64074074,
05LARV0100,Sphyraenidae,Sphyraena,barracuda,,22.5,90,7.5,2,5-Jul-05,1056,,5-Jul-05,630,,15.1,17.46589156
05LARV0250,Syngnathidae,Cosmocampus,elucens,,1.5,30,1.5,2,12-Jul-05,,cn1,12-Jul-05,600,,0.166666667,43.8097475
05LARV0251,Syngnathidae,Cosmocampus,elucens,,7.5,38,1.5,2,12-Jul-05,,cn1,12-Jul-05,600,,6.211111111,42.68087698
05LARV0252,Syngnathidae,Cosmocampus,elucens,,1.5,62,1.5,2,12-Jul-05,,cn1,12-Jul-05,600,,0.344444444,
05LARV0292,Syngnathidae,Cosmocampus,elucens,,9,0,1.5,2,24-Jul-05,,cn1,,,,7.5,23.29208269
05LARV0327,Syngnathidae,Cosmocampus,elucens,,6,14,1.5,2,30-Jul-05,,cn1,,,,4.577777778,24.31285714
05LARV0328,Syngnathidae,Cosmocampus,elucens,,6,60,1.5,2,30-Jul-05,,cn1,,,,4.833333333,24.09227253
05LARV0329,Syngnathidae,Cosmocampus,elucens,,6,17,1.5,2,30-Jul-05,,cn3,,,,4.594444444,24.35937723
05LARV0289,Tetraodontidae,Canthigaster,rostrata,,22.5,75,4.5,2,24-Jul-05,,cn2,,,,18.13888889,17.95135135
05LARV0290,Tetraodontidae,Canthigaster,rostrata,,30,27,4.5,2,24-Jul-05,,cn2,,,,25.55,19.40605051
05LARV0090,Tetraodontidae,Canthigaster,rostrata,,18,110,4.5,2,5-Jul-05,1015,cn3,5-Jul-05,630,,13.7037037,17.41303819
05LARV0300,Tetraodontidae,Canthigaster,rostrata,,27,65,4.5,2,26-Jul-05,,cn3,,,,22.62037037,18.67221892
05LARV0246,Tetraodontidae,Sphoeroides,SpA,,28.5,100,1.5,2,12-Jul-05,,cn2,12-Jul-05,600,,27.55555556,13.97320341
05LARV0314,Tetraodontidae,Sphoeroides,SpA,,18,4,4.5,2,27-Jul-05,,cn2,,,,13.50740741,8.816609811
05LARV0315,Tetraodontidae,Sphoeroides,SpA,,22.5,30,4.5,2,27-Jul-05,,cn2,,,,18.05555556,11.70357143
05LARV0316,Tetraodontidae,Sphoeroides,SpA,,22.5,25,4.5,2,27-Jul-05,,cn2,,,,18.0462963,9.931403325
05LARV0163,Tetraodontidae,Sphoeroides,SpA,,12,110,1.5,2,8-Jul-05,1015,,8-Jul-05,700,,11.11111111,6.87625
05LARV0118,Tetraodontidae,Sphoeroides,testudineus,,22.5,96,4.5,2,6-Jul-05,1020,cn2,6-Jul-05,700,,18.17777778,16.90532033
05LARV0092,Tetraodontidae,Sphoeroides,testudineus,,27,17,4.5,2,5-Jul-05,1015,cn3,5-Jul-05,630,,22.53148148,29.12069381
05LARV0119,Tetraodontidae,Sphoeroides,testudineus,,22.5,112,4.5,2,6-Jul-05,1020,cn3,6-Jul-05,700,,18.20740741,20.95220678
05LARV0120,Tetraodontidae,Sphoeroides,testudineus,,27,67,4.5,2,6-Jul-05,1020,cn3,6-Jul-05,700,,22.62407407,18.09001233
05LARV0248,,,,long skinny,18,55,4.5,2,12-Jul-05,,cn1,12-Jul-05,600,,13.60185185,26.89037759
